term,score,Df,std,mean,idf
docker,0.652412913086295,2.0,0.05324420632461583,0.039053891353478115,1.6931471805599454
registry,0.24881507370213637,1.0,0.05324420632461583,0.039053891353478115,1.6931471805599454
tcp,0.20734589475178034,1.0,0.05324420632461583,0.039053891353478115,2.09861228866811
version,0.2007424347957831,2.0,0.05324420632461583,0.039053891353478115,2.09861228866811
the,0.18772271665215903,5.0,0.05324420632461583,0.039053891353478115,2.09861228866811
java,0.1580822877070813,5.0,0.05324420632461583,0.039053891353478115,2.09861228866811
user,0.12440753685106819,1.0,0.05324420632461583,0.039053891353478115,1.4054651081081644
to,0.11856171578031097,5.0,0.05324420632461583,0.039053891353478115,2.09861228866811
home,0.11709975363087347,2.0,0.05324420632461583,0.039053891353478115,1.4054651081081644
https,0.11709975363087347,2.0,0.05324420632461583,0.039053891353478115,2.09861228866811
docker_host,0.10367294737589017,1.0,0.05324420632461583,0.039053891353478115,2.09861228866811
dockeruser,0.10367294737589017,1.0,0.05324420632461583,0.039053891353478115,2.09861228866811
2376,0.10367294737589017,1.0,0.05324420632461583,0.039053891353478115,2.09861228866811
build,0.10037121739789155,2.0,0.05324420632461583,0.039053891353478115,2.09861228866811
com,0.10037121739789155,2.0,0.05324420632461583,0.039053891353478115,2.09861228866811
properties,0.08364268116490962,2.0,0.05324420632461583,0.039053891353478115,1.6931471805599454
github,0.08364268116490962,2.0,0.05324420632461583,0.039053891353478115,2.09861228866811
path,0.08293835790071212,1.0,0.05324420632461583,0.039053891353478115,1.6931471805599454
unix,0.08293835790071212,1.0,0.05324420632461583,0.039053891353478115,2.09861228866811
username,0.08293835790071212,1.0,0.05324420632461583,0.039053891353478115,1.6931471805599454
latest,0.08293835790071212,1.0,0.05324420632461583,0.039053891353478115,2.09861228866811
localhost,0.08293835790071212,1.0,0.05324420632461583,0.039053891353478115,1.6931471805599454
docker_tls_verify,0.08293835790071212,1.0,0.05324420632461583,0.039053891353478115,2.09861228866811
